NaN,1.96,2.06,2.16,2.26,2.36,2.46,2.56,2.66,2.76,2.86,2.96,3.06,3.16,3.26,3.36,3.46,3.56,3.66,3.76,3.86,3.96,4.06,4.16,4.26,4.36,4.46,4.56,4.66,4.76,4.86,4.96,5.06,5.16,5.26,5.36,5.46,5.56,5.66,5.76,5.86,5.87,5.96,6.06,6.16,6.26,6.36,6.46,6.56,6.66,6.76,6.86,6.96,7.06,7.56,8.06,8.56,9.06,9.56,10.06,10.56,11.06,11.56,12.06,12.56
-5,1.2701,1.2701,1.2701,1.2701,1.2701,1.2701,1.2687,1.2687,1.2701,1.2701,1.2687,1.2687,1.2687,1.2687,1.2687,1.2687,1.2687,1.2687,1.2687,1.2687,1.2687,1.2687,1.2687,1.2687,1.2687,1.2687,1.2687,1.2687,1.2687,1.2687,1.2687,1.2687,1.2687,1.2687,1.2687,1.2687,1.2687,1.2687,1.2687,1.2687,1.2687,1.2687,1.2687,1.2486,1.2284,1.2095,1.1906,1.1725,1.1544,1.1358,1.117,1.0996,1.0817,0.99627,0.87919,0.72351,0.62832,0.55673,0.50483,0.46047,0.42277,0.39043,0.36237,0.33651
-4.8,1.2575,1.2575,1.2575,1.2575,1.2575,1.2575,1.2562,1.2562,1.2575,1.2575,1.2562,1.2562,1.2562,1.2562,1.2562,1.2562,1.2562,1.2562,1.2562,1.2562,1.2562,1.2562,1.2562,1.2562,1.2562,1.2562,1.2562,1.2562,1.2562,1.2562,1.2562,1.2562,1.2562,1.2562,1.2562,1.2562,1.2562,1.2562,1.2562,1.2562,1.2562,1.2562,1.2562,1.237,1.2177,1.1994,1.1811,1.1636,1.146,1.128,1.1097,1.0927,1.0753,0.99165,0.92172,0.73054,0.63275,0.55865,0.5059,0.46127,0.42339,0.391,0.36304,0.33705
-4.6,1.2446,1.2446,1.2446,1.2446,1.2446,1.2446,1.2433,1.2433,1.2446,1.2446,1.2433,1.2433,1.2433,1.2433,1.2433,1.2433,1.2433,1.2433,1.2433,1.2433,1.2433,1.2433,1.2433,1.2433,1.2433,1.2433,1.2433,1.2433,1.2433,1.2433,1.2433,1.2433,1.2433,1.2433,1.2433,1.2433,1.2433,1.2433,1.2433,1.2433,1.2433,1.2433,1.2433,1.225,1.2067,1.1891,1.1715,1.1545,1.1374,1.1199,1.1021,1.0857,1.0688,0.98701,0.91695,0.73776,0.63745,0.56112,0.50707,0.46227,0.42413,0.39156,0.36369,0.33759
-4.4,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.23,1.23,1.2311,1.2311,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.2127,1.1954,1.1785,1.1617,1.1452,1.1287,1.1117,1.0944,1.0784,1.062,0.98256,0.91241,0.74503,0.64277,0.56394,0.50827,0.46319,0.42482,0.39208,0.36428,0.3381
-4.2,1.2174,1.2174,1.2174,1.2174,1.2174,1.2174,1.2163,1.2163,1.2174,1.2174,1.2163,1.2163,1.2163,1.2163,1.2163,1.2163,1.2163,1.2163,1.2163,1.2163,1.2163,1.2163,1.2163,1.2163,1.2163,1.2163,1.2163,1.2163,1.2163,1.2163,1.2163,1.2163,1.2163,1.2163,1.2163,1.2163,1.2163,1.2163,1.2163,1.2163,1.2163,1.2163,1.2163,1.2,1.1837,1.1677,1.1517,1.1358,1.1198,1.1033,1.0865,1.071,1.0551,0.97753,0.908,0.75259,0.64806,0.567,0.50972,0.46416,0.42548,0.39258,0.36482,0.33861
-4,1.2032,1.2032,1.2032,1.2032,1.2032,1.2032,1.2021,1.2021,1.2032,1.2032,1.2021,1.2021,1.2021,1.2021,1.2021,1.2021,1.2021,1.2021,1.2021,1.2021,1.2021,1.2021,1.2021,1.2021,1.2021,1.2021,1.2021,1.2021,1.2021,1.2021,1.2021,1.2021,1.2021,1.2021,1.2021,1.2021,1.2021,1.2021,1.2021,1.2021,1.2021,1.2021,1.2021,1.1875,1.1726,1.157,1.1414,1.1261,1.1108,1.0948,1.0785,1.0634,1.048,0.97278,0.90359,0.7599,0.65357,0.57041,0.51159,0.46521,0.42612,0.39305,0.36528,0.33908
-3.8,1.1886,1.1886,1.1886,1.1886,1.1886,1.1886,1.1876,1.1876,1.1886,1.1886,1.1876,1.1876,1.1876,1.1876,1.1876,1.1876,1.1876,1.1876,1.1876,1.1876,1.1876,1.1876,1.1876,1.1876,1.1876,1.1876,1.1876,1.1876,1.1876,1.1876,1.1876,1.1876,1.1876,1.1876,1.1876,1.1876,1.1876,1.1876,1.1876,1.1876,1.1876,1.1876,1.1876,1.174,1.1602,1.1455,1.1309,1.1163,1.1017,1.0862,1.0703,1.0557,1.0408,0.96813,0.89929,0.76684,0.65908,0.57416,0.51353,0.46621,0.42679,0.39358,0.36568,0.33956
-3.6,1.1739,1.1739,1.1739,1.1739,1.1739,1.1739,1.1729,1.1729,1.1739,1.1739,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1729,1.1602,1.1473,1.1337,1.1201,1.1062,1.0924,1.0775,1.0621,1.0479,1.0333,0.96297,0.89514,0.77341,0.66475,0.57872,0.51585,0.46733,0.42761,0.39426,0.36606,0.34003
-3.4,1.1589,1.1589,1.1589,1.1589,1.1589,1.1589,1.158,1.158,1.1589,1.1589,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.1461,1.134,1.1214,1.1089,1.0959,1.0829,1.0686,1.0538,1.0401,1.0259,0.95765,0.89123,0.77924,0.6703,0.58291,0.51841,0.4688,0.42867,0.39503,0.36643,0.34045
